taxonomy_code,Class,Action,Subaction,Instance,examples_raw,papers_cited,human reviewers
T1.1.1.1,Sense,Retrieval,Retrieve from skill library,Retrieve from skill library,"Grab pre-built skill snippet (Minecraft “chop tree”)
Find and load ready-made code snippet from pre-built library",,theory-driven
T1.1.2.1,Sense,Retrieval,Retrieve from local corpus,Retrieve from local corpus,"“diverse filetype reading; read between 1 to 15 documents and/or tables” (P2)
""read the README file — Phase 1: read_file('reproduction_package/readme.txt')"" (P11)",P2; P11,main reviewer (human reviewer 2); human reviewer 6
T1.1.3.1,Sense,Retrieval,Retrieve from external knowledge base,Retrieve from external knowledge base,"“LLM which generates buggy code by integrating retrieved error slices from BugRAG as context” (P29)
“queries BugRAG to check for existing entries” (P29)
Recall three relevant distinct problems (P28): “Recall three (03) relevant and distinct problems (different from the user task)” (P28)",P28; P29,main reviewer (human reviewer 2)
T1.1.4.1,Sense,Retrieval,Retrieve from open web,Retrieve from open web,"""high reliance on web search to offload knowledge retrieval to external sources"" (P16)",P16,human reviewer 1
T1.1.5.1,Sense,Retrieval,Retrieve relevant context,Retrieve relevant context,“LLM leverages retrieved HLS-related context to transform input C algorithms or natural language descriptions” (P29),P29,main reviewer (human reviewer 2)
T1.2.1.1,Sense,Memory,Store Information,Store information in working memory,"Scratchpad for current inputs and intermediate results
Quick-access buffer that holds recent inputs and intermediate results",,theory-driven
T1.2.1.2,Sense,Memory,Store Information,Store episodic trajectories,"Record full action sequences for later training
Save complete sequences from start to finish for training/review",,theory-driven
T1.2.1.3,Sense,Memory,Store Information,Store knowledge in semantic memory,"Save general world facts
Save general facts about the world, not tied to any specific event",,theory-driven
T1.2.1.4,Sense,Memory,Store Information,Store experiences in episodic memory,"Save events as episodes
Saves past events as personal-diary-like episodes (which game won, which plan failed)",,theory-driven
T1.2.1.5,Sense,Memory,Store Information,Store information in long-term memory,"Store information in external storage
""Gemini-3-Pro...initialize_memory_bank (7 times) Gemini-3-Pro...update_memory_bank (22 times)...attempts to persist state and key information externally"" (P16)",P16,human reviewer 1
T1.2.1.6,Sense,Memory,Store Information,Maintain curriculum library,"Keep a syllabus of mastered and upcoming skills, arranged by difficulty, so the agent learns in a sensible order.",,theory-driven
T1.2.2.1,Sense,Memory,Update Information,Update memory,"Update experiences
refinement of memories (represented in text) as the system encounters new scenarios",,theory-driven
T1.2.3.1,Sense,Memory,Discard information,Discard information from working memory,"Discard local memory after subtask completion (P1)
“the local memory is discarded upon successful completion of the subtask” (P1)",P1,main reviewer (human reviewer 2)
T1.2.3.2,Sense,Memory,Discard information,"Discard redundant game state, keep summaries","“automatic context compaction to manage thousands of reasoning steps, preserving only LLM responses and action summaries while discarding redundant game state” (P25)",P25,main reviewer (human reviewer 2)
T1.2.4.1,Sense,Memory,Consolidate memory,Consolidate working memory into long-term memory,"Retain only successful analysis path to global memory (P1)
This discard-after-use strategy ensures that only the clear and successful analysis path is retained in the global memory, preventing interference from the intermediate trial-and-error history and thereby maintaining a concise and efficient context for subsequent steps (P1)",P1,main reviewer (human reviewer 2)
T1.2.4.2,Sense,Memory,Consolidate memory,Compact context window,"""automatic context compaction to manage the thousands of reasoning steps required, preserving only LLM responses and action summaries while discarding redundant game state"" (P25)",P25,main reviewer (human reviewer 2)
