sentence_id,paper_id,sentence_text,discovery_judge_suggested_code,paper-relevance,in_v3,in_v4,in_final,reviewer_id
S0001,P1,Planner role first parses user intent and decomposes the task into subtasks,Planning _ Parse User Intent,include,,,,human reviewer 2 (main reviewer)
S0002,P1,decomposes the task into subtasks,Planning _ Decompose Task into Subtasks,include,,,,human reviewer 2 (main reviewer)
S0003,P1,"identify data features, and design task plans judiciously",Reasoning _ Identify Data Features,include,,,,human reviewer 2 (main reviewer)
S0004,P1,Planner firstly conducts higher-level planning based on user-provided data and requirements,Planning _ Formulate Workflow Plan,include,,,,human reviewer 2 (main reviewer)
S0005,P1,pre-collected expert experience information,Reasoning _ Apply Domain Expert Knowledge,include,,,,human reviewer 2 (main reviewer)
S0006,P1,output format set to JSON to facilitate subtask extraction,Communication _ Format Output as JSON,include,,,,human reviewer 2 (main reviewer)
S0007,P1,Planner is also informed of the representation parsed from the data to be processed,Reasoning _ Read Data Representation,include,,,,human reviewer 2 (main reviewer)
S0008,P1,Tool Selector first retrieves the list of all tools T and the description of the current step,Execution _ Retrieve Tool List,include,,,,human reviewer 2 (main reviewer)
S0009,P1,Tool Selector solely responsible for selecting available tools,Execution _ Select Suitable Tools,include,,,,human reviewer 2 (main reviewer)
S0010,P1,automatically retrieves the documentation of the tools available in this step,Execution _ Acquire Tool Documentation,include,,,,human reviewer 2 (main reviewer)
S0011,P1,its response contains text analysis wi and the code ci,Reasoning _ Analyze Task Step,include,,,,human reviewer 2 (main reviewer)
S0012,P1,Code Programmer responsible for generating code to complete the current task,Execution _ Generate Code,include,,,,human reviewer 2 (main reviewer)
S0013,P1,code ci is executed in Code Sandbox,Execution _ Execute Code in Sandbox,include,,,,human reviewer 2 (main reviewer)
S0014,P1,"memory about history code for previous steps is prompted, denoted as M, enabling the code generation process to better match the context",Reasoning _ Read History Code from Memory,include,,,,human reviewer 2 (main reviewer)
S0015,P1,"If exceptions occur, the Code Programmer executes fixing actions to generate the rectified code",Reflection _ Fix Code on Exception,include,,,,human reviewer 2 (main reviewer)
S0016,P1,until successful code execution is achieved,Reflection _ Re-execute Until Success,include,,,,human reviewer 2 (main reviewer)
S0017,P1,Evaluator is tasked with assessing the results of the current step,Evaluation _ Evaluate Code Output,include,,,,human reviewer 2 (main reviewer)
S0018,P1,"the Evaluator, integrated with GPT-4v, evaluates these plots and ranks these methods",Evaluation _ Score Visualizations via VLM,include,,,,human reviewer 2 (main reviewer)
S0019,P1,the method with the highest score will be selected as the final output,Evaluation _ Apply Quantitative Metric,include,,,,human reviewer 2 (main reviewer)
S0020,P1,"Evaluator, driven by GPT-4, then aggregates these annotations and determines the final cell type",Reasoning _ Aggregate Tool Outputs,include,,,,human reviewer 2 (main reviewer)
S0021,P1,selects the optimal solution code for the current step,Evaluation _ Select Best Solution,include,,,,human reviewer 2 (main reviewer)
S0022,P1,"based on its evaluation of results under multiple solutions, the Evaluator aggregates results to obtain the final outcome of this step",Reasoning _ Synthesize Across Subtasks,include,,,,human reviewer 2 (main reviewer)
S0023,P1,the self-optimization process will yield three distinct batch correction results,Reflection _ Iterate Toward Quality Threshold,include,,,,human reviewer 2 (main reviewer)
S0024,P1,Executor automatically optimizes the solutions through hyperparameter tuning,Reflection _ Tune Hyperparameters,include,,,,human reviewer 2 (main reviewer)
S0025,P1,"or tool selection, leading to iterative improvement of outcomes",Reflection _ Re-select Tools,include,,,,human reviewer 2 (main reviewer)
S0026,P1,global memory to store only the final code of each historical step,Others _ Store Final Code in Global Memory,include,,,,human reviewer 2 (main reviewer)
S0027,P1,Executor maintains a local memory that only retains dialogue information within the current step,Others _ Maintain Local Dialogue Memory,include,,,,human reviewer 2 (main reviewer)
S0028,P1,resets it when the subtask ends,Others _ Discard Local Memory on Completion,include,,,,human reviewer 2 (main reviewer)
S0029,P1,"effectively organizes the collaboration of these expert roles, through a hierarchical decision-making framework",Communication _ Coordinate Multi-Role Workflow,include,,,,human reviewer 2 (main reviewer)
S0030,P1,CellAgent also provides the function of generating gene expression umap plots and violin plots for users,Communication _ Visualize Results for User,include,,,,human reviewer 2 (main reviewer)
S0031,P2,"formulate plans, decompose problems into sub-steps, select and use appropriate external tools",Planning _ Decompose Problem into Sub-steps,include,yes,yes,yes,human reviewer 2 (main reviewer)
S0032,P2,planning to navigate the web; tasks require navigation through an average of 4.2 web pages,Planning _ Formulate Multi-step Navigation Plan,include,yes,yes,yes,human reviewer 2 (main reviewer)
S0033,P2,"select and use appropriate external tools (e.g., document processors, code interpreters)",Planning _ Select Appropriate Tool,include,,,,human reviewer 2 (main reviewer)
S0034,P2,combine information from multiple sources...to produce a coherent solution,Reasoning _ Synthesize Multi-source Information,include,yes,yes,yes,human reviewer 2 (main reviewer)
S0035,P2,"Identifying patterns, directions, or changes in data over time or across contexts",Reasoning _ Detect Trend in Data,include,yes,yes,yes,human reviewer 2 (main reviewer)
S0036,P2,Measuring relationships or associations between two or more variables,Reasoning _ Correlate Variables,include,yes,,yes,human reviewer 2 (main reviewer)
S0037,P2,Ordering items or facts based on specific criteria or importance,Reasoning _ Rank Items by Criteria,include,yes,yes,yes,human reviewer 2 (main reviewer)
S0038,P2,Identifying data points or patterns that significantly deviate from the norm,Reasoning _ Detect Anomalous Pattern,include,,,,human reviewer 2 (main reviewer)
S0039,P2,Quantifying occurrences and comparing values across sources or categories,Reasoning _ Count and Compare Values,include,yes,yes,yes,human reviewer 2 (main reviewer)
S0040,P2,"Selecting relevant information based on criteria, quality, or thresholds",Reasoning _ Filter Information by Threshold,include,yes,yes,yes,human reviewer 2 (main reviewer)
S0041,P2,Determining a representative value that summarises numerical data collected from multiple sources,Reasoning _ Compute Aggregate Value,include,yes,yes,yes,human reviewer 2 (main reviewer)
S0042,P2,determine the most plausible event or factor accounting for this variability,Reasoning _ Infer Causal Relationship,include,yes,yes,yes,human reviewer 2 (main reviewer)
S0043,P2,"navigate multiple websites, extract information from both structured and unstructured sources",Execution _ Browse Web Page,include,yes,yes,yes,human reviewer 2 (main reviewer)
S0044,P2,"web browsing, web search...are the most critical skills for retrieving the correct information",Execution _ Search Web for Information,include,,,,human reviewer 2 (main reviewer)
S0045,P2,"Code Execution/Sandbox; smolagents expresses all actions, such as tool use, as code",Execution _ Execute Code in Sandbox,include,,,,human reviewer 2 (main reviewer)
S0046,P2,diverse filetype reading; read between 1 to 15 documents and/or tables,Execution _ Process Diverse Document,include,yes,yes,yes,human reviewer 2 (main reviewer)
S0047,P2,"identify target databases, API endpoints, indicator codes, and download URLs",Execution _ Call External API,include,,,,human reviewer 2 (main reviewer)
S0048,P2,integrate intermediate results into a final solution,Execution _ Integrate Results into Solution,include,,,,human reviewer 2 (main reviewer)
S0049,P2,leverage the LLM-as-a-judge...reporting average precision,Evaluation _ Judge Output via LLM,include,,,,human reviewer 2 (main reviewer)
S0050,P2,evaluate intermediate step accuracy by requiring models to emit structured outputs after each decomposition sub-step,Evaluation _ Assess Intermediate Step Accuracy,include,,,,human reviewer 2 (main reviewer)
S0051,P2,self-consistency (majority voting at N=5) yields only 5% accuracy,Evaluation _ Select Actions via Majority Voting,include,,,,human reviewer 2 (main reviewer)
S0052,P2,Navigation errors _ when the agent fails to locate or access the correct source of information,Reflection _ Recover from Navigation Error,include,yes,yes,,human reviewer 2 (main reviewer)
S0053,P2,"Technical Issue _ errors caused by system limitations, software bugs, or tool malfunctions",Reflection _ Handle Technical Failure,include,,,,human reviewer 2 (main reviewer)
S0054,P2,Synthesis Error _ when the agent reaches an incorrect conclusion despite accessing the correct information,Reflection _ Diagnose Synthesis Error,include,yes,yes,,human reviewer 2 (main reviewer)
S0055,P2,generate outputs in a JSON format (or lists of JSON objects),Communication _ Format Structured JSON Output,include,yes,yes,yes,human reviewer 2 (main reviewer)
S0056,P2,"evaluates agents on their ability to navigate multiple websites, extract information",Communication _ Accept Research Task from Human,include,,,,human reviewer 2 (main reviewer)
S0057,P3,we vary only the persona prompt p to generate u_expert and u_non-expert,Planning _ Adopt User Persona,include,,,,human reviewer 2 (main reviewer)
S0058,P3,the agent did not cancel the previous flight when attempting to reschedule,Planning _ Sequence Tool Calls,include,,,,human reviewer 2 (main reviewer)
S0059,P3,"subgoals__uch as tool signatures, and responses__s natural language grading notes",Planning _ Decompose Task into Subgoals,include,,,,human reviewer 2 (main reviewer)
S0060,P3,Given the [Chat History] REFLECT carefully on the AI assistant's last response,Reasoning _ Reflect on Conversation State,include,,,,human reviewer 2 (main reviewer)
S0061,P3,"Its action space includes tool use, responses to users, and internal reasoning",Reasoning _ Reason About Task State,include,,,,human reviewer 2 (main reviewer)
S0062,P3,"For every binary score from the judge, there is a corresponding explanation",Reasoning _ Generate Scoring Explanation,include,,,,human reviewer 2 (main reviewer)
S0063,P3,"group related error types under broader, more abstract categories to reduce redundancy",Reasoning _ Cluster Errors Semantically,include,,,,human reviewer 2 (main reviewer)
S0064,P3,determine the most probable true error type using a majority voting approach,Reasoning _ Select Representative Error Type,include,,,,human reviewer 2 (main reviewer)
S0065,P3,"agent intermediate trajectories show book_reservation, cancel_reservation tool calls",Execution _ Execute Tool Call,include,,,,human reviewer 2 (main reviewer)
S0066,P3,Incorrect Flight Selection or Argument in Booking Tool,Execution _ Select Tool,include,,,,human reviewer 2 (main reviewer)
S0067,P3,dynamically simulate the user responses in the conversation loop with the agent,Execution _ Simulate User Turn,include,,,,human reviewer 2 (main reviewer)
S0068,P3,add the list of identified TED errors into the agent instruction without manual refinement,Execution _ Insert Error Remedies into Agent Prompt,include,,,,human reviewer 2 (main reviewer)
S0069,P3,"LLMjudge returns 1 if the subgoal is achieved, and 0 otherwise",Evaluation _ Score Subgoal Achievement,include,,,,human reviewer 2 (main reviewer)
S0070,P3,we run the judge multiple times and take a majority vote as the final score,Evaluation _ Aggregate Scores via Majority Vote,include,,,,human reviewer 2 (main reviewer)
S0071,P3,evaluate the Agent Intermediate Trajectories and Agent Responses Submission to ascertain whether the subgoal has been successfully completed,Evaluation _ Assess Trajectory Evidence,include,,,,human reviewer 2 (main reviewer)
S0072,P3,the error identification function f_iden produces a low-level error description,Evaluation _ Identify Error Pattern,include,,,,human reviewer 2 (main reviewer)
S0073,P3,progress of the agent is defined as the proportion of subgoals achieved,Evaluation _ Compute Progress Metric,include,,,,human reviewer 2 (main reviewer)
S0074,P3,AUC rewards agent for achieving subgoals early which is crucial for long-horizon tasks,Evaluation _ Evaluate Turn-level Efficiency,include,,,,human reviewer 2 (main reviewer)
S0075,P3,Var[progress] captures judge's inconsistency through the variance,Evaluation _ Compute Judge Variance,include,,,,human reviewer 2 (main reviewer)
S0076,P3,"the system is incorrectly processing it as $2,613.00 _ Error: Payment amount does not add up",Evaluation _ Validate Tool Arguments,include,,,,human reviewer 2 (main reviewer)
S0077,P3,automated error analysis tool that analyzes the inconsistencies of the judge and agents,Reflection _ Diagnose Agent Inconsistency,include,,,,human reviewer 2 (main reviewer)
S0078,P3,we identify the problematic subgoal to be 'Agent should cancel reservation K1NW8N',Reflection _ Identify Inconsistent Subgoal,include,,,,human reviewer 2 (main reviewer)
S0079,P3,"After each action, the agent receives partial state information or a subsequent user utterance",Communication _ Accept Instructions from User,include,,,,human reviewer 2 (main reviewer)
S0080,P3,"good agents ask clarifying questions when given incomplete input, while poor agents do not",Communication _ Ask Clarifying Question,include,,,,human reviewer 2 (main reviewer)
S0081,P3,responses to users as part of agent action space,Communication _ Generate Response to User,include,,,,human reviewer 2 (main reviewer)
