paper_id,sentence_id,sentence
2401.09075,2401.09075_S001,Builders have the ability to input natural language pre-prompts to steer GPTs towards specified behavioral outputs.
2401.09075,2401.09075_S002,Builders can provide documents containing domain-specific knowledge that enable GPTs to generate responses based on specific data or information.
2401.09075,2401.09075_S003,"Builders can endow GPTs with capabilities like web browsing, DALL-E image generation, and code interpretation, enhancing their functionality."
2401.09075,2401.09075_S004,"Builders can integrate external APIs into their GPTs in order to perform actions, which enables their interaction with other services and tools; this is done via a customized API format called 'OpenAPI schema' where the builder defines the action to be executed, which servers to contact, and the content to be sent."
2401.09075,2401.09075_S005,"These vulnerabilities can be exploited by an attacker creating a malicious GPT, in order to manipulate users, causing them to rollback their software to a version with an N-day vulnerability, leaving them exposed to attacks that exploit it."
2401.09075,2401.09075_S006,"In response, and to supposedly aid in this task, the GPT suggests installing a specific vulnerable Java version."
2401.09075,2401.09075_S007,"After that, the GPT provides a refactored version of the user's code that includes the exploit."
2401.09075,2401.09075_S008,"In the first attack, the role of the PHP Expert GPT is to suggest lines of code that are vulnerable to SQL injection."
2401.09075,2401.09075_S009,"The GPT provides the code, and although this code is functional, it contains unsafe lines that could lead to SQL injection attacks."
2401.09075,2401.09075_S010,"In the second attack, the role of the C Expert GPT is to suggest lines of code that are vulnerable to buffer overflow attacks."
2401.09075,2401.09075_S011,"In the example presented in Figure 5 the GPT suggests Python code that is meant to get user input for a username, password, and site address, and then use those credentials for an HTTP login request."
2401.09075,2401.09075_S012,"The GPT provides the code, which appears to be a good suggestion, however, it contains harmful lines of code that will cause the user to erase all of the data in the Windows folder on the C drive, rendering the operating system inoperable and resulting in significant data loss."
2401.09075,2401.09075_S013,"Users communicate with the GPT, sharing their feelings and concerns, and then their messages are sent to an attacker's server via API calls."
2401.09075,2401.09075_S014,"While the GPT gives the impression of compliance, it actually sends the message to an external server, which has been configured to store these messages in the adversary's database."
2401.09075,2401.09075_S015,"In response, the GPT tells the user to click on the 'Discord Login Support' link, which looks legitimate but is actually a malicious link that the GPT has disguised as authentic."
2401.09075,2401.09075_S016,"It has recently been shown that ChatGPT can check and censor its responses via self-examination, and querying itself to detect if a response is harmful."
2401.09075,2401.09075_S017,"Then, we ask ChatGPT to determine if there is a security flaw or malicious code in the conversation, and if there is, to point it out."
2401.09075,2401.09075_S018,"Even more surprisingly, ChatGPT was able to point out exactly what security or privacy attack was being attempted and where in the conversation it occurred."
2401.09075,2401.09075_S019,"Then, we asked ChatGPT to detect any malicious code, potential to mislead, or privacy breaches."
2401.10019,2401.10019_S001,"LLM-powered agents can interact with the environment by using tools such as code interpreter and web search, to complete user-specified instructions autonomously."
2401.10019,2401.10019_S002,"Initially, the user interacts with the agent by user instruction u ∈ L. Following u, the agent generates a thought t ∈ L followed by an action a ∈ A."
2401.10019,2401.10019_S003,"After executing the action, the agent receives environment feedback f ∈ F."
